experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,% DMSO,well_volume,concentrations,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_ligands,dispense_bulk,picklist
16,Arachadionic acid,3.3351670650017784,0.07068384046908471,-2.665809585938547,7.45,0.10600000000000001,9.903500000000008,0.5554788989440986,0.009070163016333116,0.0037098286281142256,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.13, 134.98, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,6.104744765333732,0.09507952035519902,-5.664775790988205,7.45,0.19,20.416124999999997,0.9260281178736897,0.04529880950816636,0.01615952620934987,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,7.310351221063098,0.1383695484445101,-6.782348698299131,7.45,0.10400000000000001,20.06112500000005,0.2536088689618267,0.006819090848492931,0.01481653225755364,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,29.48960830181417,0.2999999870532545,-34.15516052957652,7.45,0.10600000000000001,21.33131250000003,0.3204614537645393,0.012275847366737194,0.008297076614263115,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,30.235416368461376,0.25999998003462615,-41.61546402653629,7.45,0.10700000000000001,14.45668750000001,0.14696418848509712,0.006519202405202646,0.006830493950930982,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,40.80283549585255,0.25499998850867683,-93.95250060541704,7.45,0.1,11.326687500000006,0.3261742659514532,0.006631903411324901,0.0027711693529512277,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.14, 134.99, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,5.911922868152723e-13,0.08914285626358365,0.16293628104097746,7.45,0.307,39.41981250000001,1.3845823248269797,0.10934798646000367,0.044250453628517705,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,3.8654399162584685,0.09539313552934944,-1.576617979893817,7.45,0.1,19.039312500000023,0.25493548273317773,0.014961259496255173,0.012248538306237563,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,1.5775027829652661,0.09053981035382731,0.10326248729521714,7.45,0.15,21.553062500000035,0.30282078557598463,0.01078937969883877,0.016073084675998817,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,4.599831445154051,0.08390504316120251,-0.89485392579768,7.45,0.145,19.770375000000016,0.2952758180393034,0.009254342609978143,0.00782021169225046,2.6363636364,5.0,29.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,0.5191670785885584,0.09935069469985192,0.6980387874440405,7.45,0.144,23.20775000000001,0.2354809039045748,0.012903487900563938,0.02643513104779668,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,4.14337293775321,0.14535356410712308,-4.1464515339182775,7.45,0.14400000000000002,17.827812500000014,0.34011275342278047,0.010138328969101086,0.01628205645048624,1.0,2.8181818182,29.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,33.66362432335665,0.6899999999999771,-65.23241468190255,7.45,0.213,31.34937500000003,0.42850134716132177,0.023549340300132154,0.016377822582821406,1.0,5.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,46.071869075460135,0.5799999999998974,-79.2789953022923,7.45,0.203,28.46131250000003,0.3591479292998577,0.020753226943572615,0.00894712701606004,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
